event_id,event_type,gid,date,n_counterparties,sum_kzt,counterparties,description
T00001,sync_out,100000002527114100,2026-07-01,5,180965.00000000,100000001307612100;100000005877725100;100000007631637100;100000008661585100;100000008663007100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00002,sync_out,100000002578405100,2026-07-01,6,220000.00000000,100000004292885100;100000006491272100;100000008661550100;100000008662216100;100000008662805100;100000008663723100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00003,fast_transit,100000002957787100,2026-07-01,0,7600.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00004,sync_out,100000002957787100,2026-07-01,6,167058.96000000,100000002380341100;100000002645609100;100000005008589100;100000005172860100;100000007267915100;100000008636603100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00005,burst,100000004420041100,2026-07-01,5,511025.00000000,,Всплеск относительно среднего по активным дням.
T00006,sync_out,100000004420041100,2026-07-01,5,511025.00000000,100000001899164100;100000002679516100;100000004798515100;100000004800648100;100000005904580100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00007,sync_in,100000004486525100,2026-07-01,3,103965.00000000,100000004070318100;100000005910114100;100000008632060100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00008,sync_out,100000002578405100,2026-07-02,6,186600.00000000,100000001632325100;100000008489604100;100000008664774100;100000008667795100;100000008667799100;100000008668099100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00009,fast_transit,100000002957787100,2026-07-02,0,22500.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00010,sync_out,100000002957787100,2026-07-02,9,125735.25000000,100000001229743100;100000002611334100;100000002934441100;100000003004487100;100000003582677100;100000004770073100;100000005268319100;100000005620225100;100000006111439100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00011,fast_transit,100000004070318100,2026-07-02,0,23000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00012,sync_in,100000004486525100,2026-07-02,4,67947.00000000,100000002681449100;100000004070318100;100000005910114100;100000007593823100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00013,sync_out,100000006866783100,2026-07-02,8,378803.00000000,100000002681449100;100000002845605100;100000002934441100;100000003004487100;100000003449074100;100000004390333100;100000007648946100;100000008094734100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00014,fast_transit,100000008304139100,2026-07-02,0,15000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00015,fast_transit,100000008389800100,2026-07-02,0,49000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00016,fast_transit,100000008512552100,2026-07-02,0,49000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00017,burst,100000000331309100,2026-07-03,15,1482003.00000000,,Всплеск относительно среднего по активным дням.
T00018,sync_out,100000000331309100,2026-07-03,15,1482003.00000000,100000000878006100;100000001072022100;100000001236706100;100000002356167100;100000002433697100;100000002459240100;100000002653948100;100000003647799100;100000004278574100;100000004315838100;100000005182219100;100000005527892100;100000007863304100;100000008324800100;100000008438656100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00019,fast_transit,100000000661912100,2026-07-03,0,25000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00020,sync_out,100000001530983100,2026-07-03,5,233248.00000000,100000000629812100;100000001578517100;100000002173070100;100000004400361100;100000004756901100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00021,fast_transit,100000002433697100,2026-07-03,0,110000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00022,sync_out,100000002527114100,2026-07-03,6,94579.00000000,100000001716579100;100000008667058100;100000008670667100;100000008671026100;100000008672162100;100000008672200100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00023,sync_out,100000002578405100,2026-07-03,5,132900.00000000,100000006701983100;100000008507703100;100000008671081100;100000008671129100;100000008672493100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00024,fast_transit,100000002957787100,2026-07-03,0,17086.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00025,sync_out,100000002957787100,2026-07-03,8,242139.75000000,100000001160401100;100000001689968100;100000002603371100;100000002645609100;100000004071070100;100000004071080100;100000006530134100;100000007442518100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00026,sync_out,100000003016635100,2026-07-03,7,252722.00000000,100000000667713100;100000003001564100;100000003042994100;100000004188160100;100000004707703100;100000005958064100;100000008188026100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00027,fast_transit,100000004070318100,2026-07-03,0,6521.55000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00028,fast_transit,100000004351795100,2026-07-03,0,90000.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00029,fast_transit,100000004390333100,2026-07-03,0,64558.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
T00030,sync_out,100000004400305100,2026-07-03,9,518199.00000000,100000001329153100;100000004390333100;100000004611571100;100000004737477100;100000004847758100;100000005830339100;100000006734214100;100000008422226100;100000008669310100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00031,sync_in,100000004486525100,2026-07-03,5,95312.00000000,100000004070318100;100000005910114100;100000007267915100;100000007593823100;100000007864477100,Синхронные переводы в один день; порядок внутри дня неизвестен.
T00032,fast_transit,100000004670388100,2026-07-03,0,160354.00000000,,"FIFO-сопоставление сумм, не доказательство движения одних и тех же денег."
