cycle_id,length,cycle_type,path,min_edge_kzt,total_kzt,has_seed,time_consistent
C00001,2,reciprocal,100000000011452100→100000005140601100→100000000011452100,15000.00000000,31685.00000000,False,True
C00002,2,reciprocal,100000000031787100→100000000267734100→100000000031787100,60000.00000000,150000.00000000,False,True
C00003,2,reciprocal,100000000076451100→100000004629688100→100000000076451100,5000.00000000,20000.00000000,False,True
C00004,2,reciprocal,100000000076451100→100000007131370100→100000000076451100,30000.00000000,60000.00000000,False,True
C00005,2,reciprocal,100000000089154100→100000006866783100→100000000089154100,10000.00000000,32000.00000000,True,True
C00006,2,reciprocal,100000000201868100→100000006069103100→100000000201868100,190000.00000000,380000.00000000,False,True
C00007,2,reciprocal,100000000274067100→100000002958343100→100000000274067100,300000.00000000,3200000.00000000,False,True
C00008,2,reciprocal,100000000291906100→100000004670388100→100000000291906100,160354.00000000,540354.00000000,False,True
C00009,2,reciprocal,100000000297649100→100000001899164100→100000000297649100,40000.00000000,110600.00000000,False,True
C00010,2,reciprocal,100000000437046100→100000007639767100→100000000437046100,27868.00000000,77868.00000000,False,True
C00011,2,reciprocal,100000000437046100→100000008293431100→100000000437046100,15000.00000000,230000.00000000,False,True
C00012,2,reciprocal,100000000437046100→100000008686313100→100000000437046100,29200.00000000,1134183.00000000,False,True
C00013,2,reciprocal,100000000580561100→100000003888271100→100000000580561100,12177.00000000,30857.00000000,True,True
C00014,2,reciprocal,100000000580561100→100000007939160100→100000000580561100,9300.00000000,804300.00000000,True,True
C00015,2,reciprocal,100000000594783100→100000002224132100→100000000594783100,60000.00000000,2695000.00000000,False,True
C00016,2,reciprocal,100000000607941100→100000003406094100→100000000607941100,20000.00000000,90000.00000000,False,True
C00017,2,reciprocal,100000000661912100→100000003131016100→100000000661912100,126000.00000000,531700.00000000,False,True
C00018,2,reciprocal,100000000667713100→100000008636603100→100000000667713100,12750.00000000,25500.00000000,False,True
C00019,2,reciprocal,100000000673868100→100000008258083100→100000000673868100,149500.00000000,2180150.00000000,False,True
C00020,2,reciprocal,100000000706545100→100000006901046100→100000000706545100,5500.00000000,81300.00000000,False,True
C00021,2,reciprocal,100000000791285100→100000008461532100→100000000791285100,560000.00000000,1680000.00000000,False,True
C00022,2,reciprocal,100000000831684100→100000004692798100→100000000831684100,15000.00000000,65000.00000000,False,True
C00023,2,reciprocal,100000000838385100→100000008213966100→100000000838385100,145000.00000000,581900.00000000,False,True
C00024,2,reciprocal,100000000850297100→100000006707582100→100000000850297100,17520.00000000,35040.00000000,False,True
C00025,2,reciprocal,100000000926766100→100000001526235100→100000000926766100,6000.00000000,24750.00000000,False,True
C00026,2,reciprocal,100000000933075100→100000002193259100→100000000933075100,40000.00000000,80000.00000000,False,True
C00027,2,reciprocal,100000001049200100→100000003016635100→100000001049200100,5000.00000000,11014.00000000,True,True
C00028,2,reciprocal,100000001138283100→100000008603629100→100000001138283100,40000.00000000,121805.00000000,False,True
C00029,2,reciprocal,100000001166289100→100000002733905100→100000001166289100,25000.00000000,507839.00000000,False,True
C00030,2,reciprocal,100000001232297100→100000005074393100→100000001232297100,5000.00000000,35000.00000000,False,True
C00031,2,reciprocal,100000001380054100→100000005077484100→100000001380054100,7050.00000000,157050.00000000,False,True
C00032,2,reciprocal,100000001380054100→100000006232815100→100000001380054100,120000.00000000,280000.00000000,True,True
C00033,2,reciprocal,100000001382002100→100000005584222100→100000001382002100,55000.00000000,111500.00000000,False,True
C00034,2,reciprocal,100000001439416100→100000002741024100→100000001439416100,10000.00000000,20000.00000000,False,True
C00035,2,reciprocal,100000001445848100→100000002217161100→100000001445848100,351850.00000000,897850.00000000,False,True
C00036,2,reciprocal,100000001526235100→100000001788284100→100000001526235100,8000.00000000,64000.00000000,False,True
C00037,2,reciprocal,100000001526235100→100000005505655100→100000001526235100,20000.00000000,40000.00000000,False,True
C00038,2,reciprocal,100000001600934100→100000005140601100→100000001600934100,11000.00000000,191300.00000000,False,True
C00039,2,reciprocal,100000001609499100→100000006866783100→100000001609499100,11000.00000000,104937.00000000,True,True
C00040,2,reciprocal,100000001616816100→100000001937767100→100000001616816100,53000.00000000,106000.00000000,True,True
C00041,2,reciprocal,100000001616816100→100000004015047100→100000001616816100,69195.00000000,179695.00000000,True,True
C00042,2,reciprocal,100000001660397100→100000006866783100→100000001660397100,19300.00000000,43300.00000000,True,True
C00043,2,reciprocal,100000001677929100→100000001740277100→100000001677929100,5000.00000000,13700.00000000,False,True
C00044,2,reciprocal,100000001677929100→100000002394199100→100000001677929100,76777.00000000,354175.00000000,False,True
C00045,2,reciprocal,100000001697501100→100000002527114100→100000001697501100,25000.00000000,115000.00000000,True,True
C00046,2,reciprocal,100000001697501100→100000002578405100→100000001697501100,73700.00000000,193700.00000000,False,True
C00047,2,reciprocal,100000001697501100→100000006612238100→100000001697501100,25000.00000000,185000.00000000,False,True
C00048,2,reciprocal,100000001732159100→100000008314203100→100000001732159100,95000.00000000,417076.00000000,True,True
C00049,2,reciprocal,100000001732159100→100000008637537100→100000001732159100,381890.00000000,2664990.00000000,True,True
C00050,2,reciprocal,100000001808684100→100000003509750100→100000001808684100,37700.00000000,86100.00000000,False,True
C00051,2,reciprocal,100000001857829100→100000003880331100→100000001857829100,100000.00000000,400000.00000000,False,True
C00052,2,reciprocal,100000001857829100→100000008603629100→100000001857829100,26000.00000000,434000.00000000,False,True
C00053,2,reciprocal,100000001872484100→100000008601794100→100000001872484100,475400.00000000,1346800.00000000,True,True
C00054,2,reciprocal,100000001893287100→100000004698193100→100000001893287100,18000.00000000,170700.00000000,False,True
C00055,2,reciprocal,100000001899164100→100000002193259100→100000001899164100,8000.00000000,17500.00000000,False,True
C00056,2,reciprocal,100000001965374100→100000005820746100→100000001965374100,60000.00000000,2049000.00000000,False,True
C00057,2,reciprocal,100000002132479100→100000004159526100→100000002132479100,20000.00000000,50000.00000000,False,True
C00058,2,reciprocal,100000002156381100→100000002696152100→100000002156381100,21800.00000000,72800.00000000,False,True
C00059,2,reciprocal,100000002175422100→100000002975437100→100000002175422100,8500.00000000,538500.00000000,False,True
C00060,2,reciprocal,100000002175422100→100000003004487100→100000002175422100,40000.00000000,155000.00000000,False,True
C00061,2,reciprocal,100000002175422100→100000003557488100→100000002175422100,20000.00000000,684992.00000000,False,True
C00062,2,reciprocal,100000002224132100→100000004603109100→100000002224132100,300000.00000000,2880000.00000000,False,True
C00063,2,reciprocal,100000002224132100→100000004892144100→100000002224132100,180300.00000000,4580300.00000000,False,True
C00064,2,reciprocal,100000002267998100→100000003701161100→100000002267998100,220000.00000000,1070000.00000000,False,True
C00065,2,reciprocal,100000002267998100→100000003718221100→100000002267998100,200000.00000000,430000.00000000,False,True
C00066,2,reciprocal,100000002293421100→100000004180097100→100000002293421100,22000.00000000,58000.00000000,False,True
C00067,2,reciprocal,100000002391278100→100000004221668100→100000002391278100,30000.00000000,82700.00000000,False,True
C00068,2,reciprocal,100000002527114100→100000003942602100→100000002527114100,30000.00000000,60000.00000000,True,True
C00069,2,reciprocal,100000002527114100→100000006656003100→100000002527114100,9000.00000000,29000.00000000,True,True
C00070,2,reciprocal,100000002578405100→100000005041905100→100000002578405100,5000.00000000,1085351.00000000,False,True
C00071,2,reciprocal,100000002612809100→100000005507142100→100000002612809100,15000.00000000,45000.00000000,False,True
C00072,2,reciprocal,100000002692750100→100000003636627100→100000002692750100,10000.00000000,87000.00000000,False,True
C00073,2,reciprocal,100000002723538100→100000008603629100→100000002723538100,70647.00000000,155647.00000000,False,True
C00074,2,reciprocal,100000002731501100→100000004007116100→100000002731501100,10000.00000000,211960.00000000,True,True
C00075,2,reciprocal,100000002731501100→100000004160650100→100000002731501100,40000.00000000,590370.00000000,False,True
C00076,2,reciprocal,100000002733905100→100000005342513100→100000002733905100,30000.00000000,265000.00000000,False,True
C00077,2,reciprocal,100000002738256100→100000004135268100→100000002738256100,150200.00000000,325200.00000000,False,True
C00078,2,reciprocal,100000002741024100→100000007629096100→100000002741024100,360000.00000000,1125205.00000000,False,True
C00079,2,reciprocal,100000002741024100→100000008680912100→100000002741024100,5990.85000000,51102.85000000,False,True
C00080,2,reciprocal,100000002781227100→100000002796853100→100000002781227100,46167.62000000,245167.62000000,False,True
C00081,2,reciprocal,100000002812641100→100000002838861100→100000002812641100,7023.95000000,17023.95000000,False,True
C00082,2,reciprocal,100000002870463100→100000005142492100→100000002870463100,10000.00000000,67000.00000000,False,True
C00083,2,reciprocal,100000002941114100→100000005168487100→100000002941114100,15000.00000000,118510.00000000,False,True
C00084,2,reciprocal,100000002957787100→100000005268319100→100000002957787100,19712.80000000,43712.80000000,False,True
C00085,2,reciprocal,100000002963189100→100000005933757100→100000002963189100,490000.00000000,1640000.00000000,False,True
C00086,2,reciprocal,100000003001661100→100000007382543100→100000003001661100,110000.00000000,220000.00000000,False,True
C00087,2,reciprocal,100000003016635100→100000004188160100→100000003016635100,18000.00000000,97262.00000000,True,True
C00088,2,reciprocal,100000003016635100→100000004330371100→100000003016635100,18981.00000000,115652.00000000,True,True
C00089,2,reciprocal,100000003016635100→100000005287097100→100000003016635100,110723.00000000,503223.00000000,True,True
