chain_id,a,b,c,repeats,sum_ab,sum_bc,median_lag_days,first_date,last_date
H00001,100000001732159100,100000008637537100,100000001732159100,10,381890.00000000,2283100.00000000,1.00000000,2026-07-01,2026-07-17
H00002,100000002217161100,100000001445848100,100000002217161100,10,546000.00000000,351850.00000000,1.00000000,2026-07-06,2026-07-25
H00003,100000001445848100,100000002217161100,100000001445848100,9,351850.00000000,546000.00000000,1.00000000,2026-07-05,2026-07-27
H00004,100000008637537100,100000001732159100,100000008637537100,8,2283100.00000000,381890.00000000,2.00000000,2026-07-01,2026-07-11
H00005,100000008314203100,100000008637537100,100000001732159100,8,232000.00000000,2283100.00000000,1.00000000,2026-07-01,2026-07-17
H00006,100000005287097100,100000003016635100,100000006518161100,7,392500.00000000,521200.00000000,2.00000000,2026-07-04,2026-07-22
H00007,100000008637537100,100000001732159100,100000008314203100,7,2283100.00000000,322076.00000000,1.00000000,2026-07-05,2026-07-14
H00008,100000001732159100,100000008314203100,100000008637537100,7,322076.00000000,232000.00000000,1.00000000,2026-07-07,2026-07-16
H00009,100000005287097100,100000003016635100,100000000667713100,7,392500.00000000,106745.00000000,1.00000000,2026-07-04,2026-07-20
H00010,100000000437046100,100000007055802100,100000004299488100,6,1015000.00000000,605000.00000000,1.00000000,2026-07-12,2026-07-19
H00011,100000003016635100,100000006518161100,100000005660203100,6,521200.00000000,572899.00000000,0.00000000,2026-07-06,2026-07-22
H00012,100000005287097100,100000003016635100,100000004948177100,6,392500.00000000,341163.00000000,1.50000000,2026-07-04,2026-07-10
H00013,100000005287097100,100000003016635100,100000004559194100,6,392500.00000000,282145.00000000,1.50000000,2026-07-07,2026-07-14
H00014,100000004299488100,100000007055802100,100000004299488100,6,204999.00000000,605000.00000000,1.50000000,2026-07-08,2026-07-19
H00015,100000005339662100,100000004820260100,100000005339662100,6,234200.00000000,135850.00000000,2.00000000,2026-07-16,2026-07-31
H00016,100000004351795100,100000000437046100,100000008686313100,5,542000.00000000,1104983.00000000,2.00000000,2026-07-18,2026-07-25
H00017,100000005287097100,100000003016635100,100000000706545100,5,392500.00000000,721300.00000000,1.00000000,2026-07-08,2026-07-18
H00018,100000008258083100,100000000673868100,100000008258083100,5,2030650.00000000,149500.00000000,0.00000000,2026-07-03,2026-07-13
H00019,100000004820260100,100000005339662100,100000004820260100,5,135850.00000000,234200.00000000,0.00000000,2026-07-16,2026-07-31
H00020,100000003835149100,100000002224132100,100000000594783100,4,2900720.00000000,2635000.00000000,0.50000000,2026-07-08,2026-07-27
H00021,100000008601794100,100000001872484100,100000008601794100,4,871400.00000000,475400.00000000,2.00000000,2026-07-12,2026-07-26
H00022,100000005287097100,100000003016635100,100000001567366100,4,392500.00000000,824070.00000000,2.00000000,2026-07-08,2026-07-21
H00023,100000005287097100,100000003016635100,100000004186824100,4,392500.00000000,437350.00000000,2.00000000,2026-07-07,2026-07-20
H00024,100000005287097100,100000003016635100,100000004394765100,4,392500.00000000,451888.00000000,1.50000000,2026-07-11,2026-07-23
H00025,100000007390016100,100000008324800100,100000007390016100,4,346500.00000000,511000.00000000,0.00000000,2026-07-03,2026-07-07
H00026,100000008324800100,100000007390016100,100000008324800100,4,511000.00000000,346500.00000000,0.00000000,2026-07-03,2026-07-07
H00027,100000004351795100,100000008512552100,100000003242289100,4,246100.00000000,468791.00000000,0.50000000,2026-07-14,2026-07-19
H00028,100000005287097100,100000003016635100,100000004790991100,4,392500.00000000,239413.00000000,1.50000000,2026-07-04,2026-07-15
H00029,100000004160650100,100000002731501100,100000003031890100,4,550370.00000000,215000.00000000,1.00000000,2026-07-12,2026-07-29
H00030,100000006866783100,100000004299488100,100000007055802100,4,337000.00000000,204999.00000000,1.50000000,2026-07-09,2026-07-12
H00031,100000007055802100,100000004299488100,100000007055802100,4,605000.00000000,204999.00000000,0.00000000,2026-07-08,2026-07-18
H00032,100000000673868100,100000008258083100,100000000673868100,4,149500.00000000,2030650.00000000,1.00000000,2026-07-02,2026-07-13
H00033,100000007055802100,100000004299488100,100000004674799100,4,605000.00000000,140000.00000000,1.50000000,2026-07-13,2026-07-17
H00034,100000004209339100,100000003635170100,100000004209339100,4,232500.00000000,138500.00000000,0.50000000,2026-07-11,2026-07-19
H00035,100000003016635100,100000005287097100,100000003016635100,4,110723.00000000,392500.00000000,0.50000000,2026-07-11,2026-07-18
H00036,100000005287097100,100000003016635100,100000000440392100,4,392500.00000000,105705.00000000,1.50000000,2026-07-04,2026-07-19
H00037,100000005287097100,100000003016635100,100000004330371100,4,392500.00000000,96671.00000000,2.00000000,2026-07-06,2026-07-21
H00038,100000004723755100,100000008748914100,100000003684369100,4,95000.00000000,1582700.00000000,1.00000000,2026-07-25,2026-07-28
H00039,100000002781227100,100000002796853100,100000002781227100,4,199000.00000000,46167.62000000,1.00000000,2026-07-12,2026-07-23
H00040,100000002796853100,100000002781227100,100000002796853100,4,46167.62000000,199000.00000000,0.00000000,2026-07-12,2026-07-23
H00041,100000001872484100,100000008601794100,100000001872484100,3,475400.00000000,871400.00000000,0.00000000,2026-07-14,2026-07-23
H00042,100000000331309100,100000007055802100,100000004299488100,3,450000.00000000,605000.00000000,0.00000000,2026-07-12,2026-07-14
H00043,100000005287097100,100000003016635100,100000002173161100,3,392500.00000000,869500.00000000,2.00000000,2026-07-18,2026-07-21
H00044,100000004351795100,100000000437046100,100000003834495100,3,542000.00000000,327441.00000000,2.00000000,2026-07-18,2026-07-31
